IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
FA6970152A;6250;1201;RECRIA ANGELIANA;;112330.0;693935.0;JULIO LOPEZ PEREZ;;65.0;65.0;;;;;;;;10.0;;P;1259383.0;428021.88;1994-01-18
FA6970159A;6250;1201;FDO STA ANA LOS PEROZOS;;112343.0;693857.0;ROSO DORANTES;780.0;62.0;59.3;28.0;  0780;10.0;;;17.0;;10.0;;A;1259779.73;429174.47;1994-01-18
FA6970160A;6250;1201;DIST LOS OLIVOS LAS CALDERAS;;112516.0;693640.0;WINSTON TROMPIZ;880.0;102.0;97.7;16.0;  0880;8.0;12.62;;17.0;;10.0;;A;1262627.37;433332.59;1994-01-18
FA6970161A;6250;0503;DOS CAMINOS VIA GUAIBACOA;;112600.0;693015.0;ANTONIO COLINA;1080.0;89.0;68.0;43.0;021080;1.0;;;17.0;;8.0;;;1263956.41;445002.06;1994-07-20
FA6970162A;6250;1201;CORO MUSEO EL PALMAR;;112345.0;693944.0;UNIVERSIDAD;;73.1;473.1;27.43;  0792;12.0;;;14.0;;8.0;;A;1259844.38;427750.16;1994-07-20
FA6970163A;6250;1201;LAS HUERTAS LOS PEROZOS;;112338.0;693859.0;COLEGIO DE ABOGADOS;;81.3;81.3;30.0;  0884;14.0;24.4;;;;;;P;1259626.28;429113.51;1994-01-18
FA6970164N;6250;1203;LOS PEROZOS;RED;112414.0;693808.0;GERONIMO OCANDO;;97.0;91.1;27.5;301296;;21.45;;;;2.0;;P;1260728.66;430661.62;1994-01-18
FA6970165A;6250;1203;HOTEL CAQUETIO TRINCHERAS;;112446.0;693804.0;PEDRO BURGOS;983.0;62.0;61.3;18.35;  0792;6.0;;;14.0;;6.0;;P;1261711.34;430785.0;1994-01-18
FA6970166A;6250;1201;HUERTAS DE CORO;;112305.0;693910.0;JORGE LOPEZ;585.0;70.5;66.1;30.0;  0585;9.0;;;12.0;;6.0;;P;1258613.36;428777.85;1994-01-18
FA6970167A;6250;0501;VIVERO LOS OLIVOS;;112625.0;693655.0;RAFIC MOHTAR;685.0;40.5;29.9;8.0;  0685;6.0;;;12.0;;6.0;;D;1264747.8;432882.54;1994-01-18
FA6970168N;6250;0501;EL HATILLO;RED;112625.0;693440.0;UNEFM BRIZUELA;885.0;32.2;30.5;8.84;301296;2.0;;;8.0;;2.0;;;1264739.36;436973.35;1994-01-18
FA6973003C;6150;1205;MITARE;;112126.0;700138.0;COMUNIDAD;;;60.0;16.0;  0883;1.0;;;;;;;;1255690.36;387909.54;1994-01-18
FA6973002A;6150;1205;MITARE;;112108.0;700153.0;COMUNIDAD;;60.0;60.0;17.0;  0783;1.0;25.97;;;;6.0;;;1255139.01;387452.86;1994-01-18
FA6971099A;6250;1201;CEBOLLAL HDA GATILLO;;112121.0;694621.0;PABLO GONZALEZ;687.0;;;;;;;;;;10.0;;P;1255450.79;415706.23;1994-01-18
FA6270088A;6250;;LOS PEROZOS;;112350.0;693821.0;FCO ARACA;;32.0;;20.0;  0084;;;;;;;;;1259992.32;430266.01;1994-01-18
FA6270092A;6250;;LOS PEROZOS;;112357.0;693818.0;DAAL COLINA;;;;2.0;  0084;;24.3;;;;;;;1260207.14;430357.4;1994-01-18
FA6463004A;6547;1701;TUCACAS;;1037.0;6829.0;ACUERUR;1266.0;35.7;32.7;4.5;  0372;6.0;25.86;;;;6.0;;;1173654.89;556517.29;1994-01-18
FA6463006C;6547;1701;HDA STA MARIA BOCA DE AROA;;1036.0;6827.0;ALVARO RAMOS;;;;;  1170;;20.0;;;;;;;1171818.25;560166.93;1994-01-18
FA6463007A;6547;1701;HDA EL GUAPO BOCA DE AROA;;1036.0;6825.0;JOSE  CASTILLO;;;;8.0;  1170;;26.7;;;;;;;1171824.88;563813.53;1994-01-18
FA6478001A;6047;1701;MENE DE MAUROA;;103455.0;705955.0;DAMASO RODRIGUEZ;;;;;  0473;;144.0;;;;;;;1170469.39;281311.81;1994-01-18
FA6479003A;5947;1701;HATO EL CACAO MENE DE MAUROA;;103800.0;710053.0;HERMANOS MELLADO;;64.0;64.0;11.0;  0473;11.0;;;;;;;;1176166.06;279585.07;1994-01-18
FA6479004A;5947;1101;HDA EL CAÑO EL CLAVO;;103615.0;710200.0;DAMASO RODRIGUEZ;;;;2.65;  0473;;137.15;;;;12.0;;;1172952.5;277527.06;1994-01-18
FA6479005A;5947;1101;HDA EL CAÑO EL CLAVO;;103632.0;710135.0;DAMASO RODRIGUEZ;;;;30.0;  0473;;131.7;;;;12.0;;;1173469.98;278290.57;1994-01-18
FA6479006C;5947;1101;HDA SAN JOSE MENE DE MAUROA;;103815.0;710308.0;ISIDRO VILLASMIL;;;20.0;13.0;  0473;;84.5;;;;;;;1176653.93;275483.9;1994-01-18
FA6479007C;5947;1101;HDA ESPERANZA MENE DE MAUROA;;103910.0;710300.0;SECUNDINO PINA;;;12.0;7.0;  0473;1.0;79.04;;;;;;;1178342.59;275738.29;1994-01-18
FA6563001A;6548;1701;TUCACAS LAS LAPAS;;1046.0;6824.0;COMUNIDAD;;26.0;26.0;10.0;  0571;6.0;;;;;8.0;;;1190257.55;565601.05;1994-01-18
