"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"CA6160088A";"6646";"0905";"LOS OLIVOS";;"1008";"6752";"INOS";;" 180.0";" 180.0";"   9.60";"210988";;" 414.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160089A";"6646";"0905";"ZONA SUR LOS GUAYOS";;"1008";"6752";;;;;;;;;;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160090A";"6646";"0905";"AGROP HAYDELISA EL OLIVO";;"1008";"6752";"JUAN PADRON";;" 125.0";" 125.0";"  13.00";"210988";"  8";" 418.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160091A";"6646";"0905";"SECTOR EL OLIVO";;"1008";"6752";;;;;"  14.30";"210988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160092A";"6646";"0905";"AGROP HAYDELISA EL OLIVO";;"1008";"6752";"JUAN PADRON";;" 130.0";" 130.0";"  13.20";"210988";"  8";" 416.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160093A";"6646";"0905";"HDA EL CHARRO EL OLIVO";;"1008";"6752";"SELEDONIO MARTIN";;" 110.0";" 110.0";;"220988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160095A";"6646";"0905";"ASENT LA PEREÑA";;"1008";"6752";"EUGENIO MORA";;" 108.0";" 108.0";"   6.00";"220988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160096A";"6646";"0905";"AGROP LOS GUAYOS SAMAN MOCHO";;"1008";"6752";"JOSE PADRON";;;;"   9.60";"210988";"  7";" 421.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160097C";"6646";"0905";"LA PEREÑA";;"1008";"6752";"BERNARDO VALENCIA";;"  20.0";"  20.0";;;;;;;;"  4";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160098A";"6646";"0905";"FDO SANTA ELENA LA PEREÑA";;"1008";"6752";"MARINO SENSUYO";;"  24.0";"  24.0";;"230988";;" 412.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160099A";"6646";"0905";"AGROP EL ENCANTO LA PEREÑA";;"1008";"6752";"BORIS LECAST";"0988";" 110.0";" 110.0";;"230988";;;;" 20";;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160100A";"6646";"0905";"EL CAÑAVERAL LA PEREÑA";;"1008";"6752";"CELSO MEDINA";;" 165.0";" 165.0";"   5.60";"230988";;" 411.00";;" 12";;"  8";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160101A";"6646";"0905";"ASENT LA PEREÑA";;"1008";"6752";"HERMANOS RODRIGUEZ";;" 110.0";" 110.0";"   3.00";"230988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160102A";"6646";"0905";"FDO LA CULEBRA LA PEREÑA";;"1008";"6752";"CELSO MEDINA";;;;"   1.60";"230988";;" 402.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160153A";"6646";"0905";"HDA LOS RODRIGUEROS";;"1008";"6752";"JOSE RODRIGUEZ";;;;"   5.00";"230988";;;;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160104C";"6646";"0905";"LA MONTAÑITA";;"1008";"6752";"MARIO VALENZUELA";;;;;"230988";;" 398.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160105C";"6646";"0905";"LA PEÑA FDO HNOS MORA";;"1008";"6752";"ISMAEL MORA CARDOZO";"  78";"  17.0";"  17.0";;"230988";;;;;;"  5";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160106A";"6646";"0905";"LA MONTAÑITA";;"1008";"6752";"MARIO VALENZUELA";;;;;"230988";;" 398.00";;;;" 14";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160107C";"6646";"0905";"ISLA CULEBRA FDO LOS ABUELOS";;"1008";"6752";"AGUSTIN TORREALBA";;"  12.0";"  12.0";"   5.00";"230988";;;;;;"  6";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160108C";"6646";"0905";"ISLA LA CULEBRA";;"1008";"6752";"ELIAS MADDAD";;"  10.0";"  10.0";;"230988";;;;;;"  4";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
